NGC_BMU_ID,SETT_BMU_ID,FUEL TYPE,EFF_FROM,EFF_TO,Comments,Further Fuel Type,EELPS?,Updated 21/12/2023
DNGB22,T_DNGB22,NUCLEAR,2001-03-27 00:00:00,,,,,
DNLWW-1,T_DNLWW-1,WIND,2011-05-31 00:00:00,,,,,
DOREW-1,T_DOREW-1,WIND,2018-04-26 00:00:00,,,,,
DOREW-2,T_DOREW-2,WIND,2018-04-26 00:00:00,,,,,
DOUGW-1,T_DOUGW-1,Wind,2021-03-05 00:00:00,,,,,
DRAXX-1,T_DRAXX-1,BIOMASS,2017-08-31 00:00:00,,,,,
DRAXX-10G,T_DRAXX-10G,OCGT,2017-08-31 00:00:00,,,,,
DRAXX-12G,T_DRAXX-12G,OCGT,2017-08-31 00:00:00,,,,,
DRAXX-2,T_DRAXX-2,BIOMASS,2017-08-31 00:00:00,,,,,
DRAXX-3,T_DRAXX-3,BIOMASS,2017-08-31 00:00:00,,,,,
DRAXX-4,T_DRAXX-4,BIOMASS,2017-08-31 00:00:00,,,,,
DRAXX-5,T_DRAXX-5,COAL,2017-08-31 00:00:00,,,,,
DRAXX-6,T_DRAXX-6,COAL,2017-08-31 00:00:00,,,,,
DRAXX-9G,T_DRAXX-9G,OCGT,2017-08-31 00:00:00,,,,,
DRDGW-1,,WIND,2008-10-12 00:00:00,,,,EELPS,
DRSLW-1,T_DRSLW-1,WIND,2016-05-04 00:00:00,,,,,
DUMMW-1,,WIND,2018-12-12 00:00:00,,,,EELPS,
DUNGW-1,T_DUNGW-1,WIND,2016-06-16 00:00:00,,,,,
EAAO-1,T_EAAO-1,WIND,2019-03-12 00:00:00,,,,,
EAAO-2,T_EAAO-2,WIND,2019-03-12 00:00:00,,,,,
EARBW-1,,WIND,2013-06-16 00:00:00,,,,EELPS,
EDINW-1,T_EDINW-1,WIND,2010-05-31 00:00:00,,,,,
EDTRW-1,,WIND,2016-05-31 00:00:00,,,,EELPS,
EECL-1,T_EECL-1,CCGT,2016-08-31 00:00:00,,,,,
ERRO-1,T_ERRO-1,NPSHYD,2004-04-01 00:00:00,,,HYDRO,,
ERRO-2,T_ERRO-2,NPSHYD,2004-04-01 00:00:00,,,HYDRO,,
ERRO-3,T_ERRO-3,NPSHYD,2004-04-01 00:00:00,,,HYDRO,,
EWHLW-1,T_EWHLW-1,WIND,2016-09-25 00:00:00,,,,,
FAARW-1,T_FARR-1,WIND,2017-08-31 00:00:00,,,,,
FAARW-2,T_FARR-2,WIND,2017-08-31 00:00:00,,,,,
FALGW-1,T_FALGW-1,WIND,2015-07-01 00:00:00,,,,,
FASN-1,T_FASN-1,NPSHYD,2004-04-01 00:00:00,,,HYDRO,,
FASN2,T_FASN-2,NPSHYD,2017-05-31 00:00:00,,,HYDRO,,
FASN3,E_FASN-3,NPSHYD,2017-05-31 00:00:00,,,HYDRO,,
FASN-4,E_FASN-4,NPSHYD,2006-01-26 00:00:00,,,HYDRO,,
FAWN-1,E_FAWN-1,CCGT,2010-03-04 00:00:00,,,,,
FELL-1,E_FELL-1,CCGT,2001-03-27 00:00:00,,,,,
FFES-1,T_FFES-1,PS,2001-03-27 00:00:00,,,,,
FFES-2,T_FFES-2,PS,2001-03-27 00:00:00,,,,,
FFES-3,T_FFES-3,PS,2001-03-27 00:00:00,,,,,
FFES-4,T_FFES-4,PS,2001-03-27 00:00:00,,,,,
FINL-1,T_FINL-1,NPSHYD,2004-04-01 00:00:00,,,HYDRO,,
FOYE-1,T_FOYE-1,PS,2004-04-01 00:00:00,,,,,
FOYE-2,T_FOYE-2,PS,2004-04-01 00:00:00,,,,,
FRBRW-1,,WIND,2009-08-05 00:00:00,,,,EELPS,
FSDLW-1,T_FSDLW-1,WIND,2016-09-25 00:00:00,,,,,
GAOFO-1,T_GANW-11,WIND,2017-03-20 00:00:00,,,,,
GAOFO-2,T_GANW-22,WIND,2017-03-20 00:00:00,,,,,
GAOFO-3,T_GANW-13,WIND,2017-03-20 00:00:00,,,,,
GAOFO-4,T_GANW-24,WIND,2017-03-20 00:00:00,,,,,
GDSTW-1,E_GDSTW-1,WIND,2012-09-26 00:00:00,,,,,
GLCHW-1,E_GLCHW-1,WIND,2017-03-01 00:00:00,,,,,
GLNDO-1,T_GLNDO-1,NPSHYD,2008-09-16 00:00:00,,,HYDRO,,
GLNKW-1,T_GLNKW-1,WIND,2022-01-27 00:00:00,,,,,
GLOFW-1,E_GLOFW-1,WIND,2013-08-31 00:00:00,,,,,
GLWSW-1,T_GLWSW-1,WIND,2016-07-27 00:00:00,,,,,
GNAPW-1,T_GNAPW-1,WIND,2016-08-01 00:00:00,,,,,
GNFSW-1,T_GNFSW-1,WIND,2010-05-31 00:00:00,,,,,
GNFSW-2,E_GNFSW-2,WIND,2010-05-31 00:00:00,,,,,
GORDW-1,T_GORDW-1,WIND,2011-11-01 00:00:00,,,,,
GORDW-2,T_GORDW-2,WIND,2021-02-10 00:00:00,,,,,
GRAI1G,T_GRAI1G,OCGT,2016-08-31 00:00:00,,,,,
GRAI4G,T_GRAI4G,OCGT,2016-08-31 00:00:00,,,,,
GRAI-6,T_GRAI-6,CCGT,2016-08-31 00:00:00,,,,,
GRAI-7,T_GRAI-7,CCGT,2016-08-31 00:00:00,,,,,
GRAI-8,T_GRAI-8,CCGT,2016-08-31 00:00:00,,,,,
GRGBW-1,T_GRGBW-1,WIND,2010-05-31 00:00:00,,,,,
GRGBW-2,T_GRGBW-2,WIND,2012-03-01 00:00:00,,,,,
GRGBW-3,T_GRGBW-3,WIND,2012-03-01 00:00:00,,,,,
GRGRW-1,E_GRGRW-1,WIND,2022-11-22 00:00:00,,,,,
GRIFW-1,T_GRIFW-1,WIND,2011-01-20 00:00:00,,,,,
GRIFW-2,T_GRIFW-2,WIND,2011-01-20 00:00:00,,,,,
GRMO-1,T_GRMO-1,CCGT,2004-04-01 00:00:00,,,,,
GRUB-1,,NPSHYD,2004-04-01 00:00:00,,,HYDRO,EELPS,
GRUB-2,,NPSHYD,2004-04-01 00:00:00,,,HYDRO,EELPS,
GYAR-1,E_GYAR-1,CCGT,2004-02-10 00:00:00,,,,,
GYMRO-15,T_GYMR-15,WIND,2015-02-18 00:00:00,,,,,
GYMRO-17,T_GYMR-17,WIND,2015-02-18 00:00:00,,,,,
GYMRO-26,T_GYMR-26,WIND,2015-02-18 00:00:00,,,,,
GYMRO-28,T_GYMR-28,WIND,2015-02-18 00:00:00,,,,,
HADHW-1,T_HADHW-1,WIND,2016-12-01 00:00:00,,,,,
HALSW-1,HALSW-1,WIND,2020-11-20 00:00:00,,,,,
HAWFW-1,,WIND,2009-08-27 00:00:00,,,,Non-standard,
HBHDW-1,E_HBHDW-1,WIND,2016-11-16 00:00:00,,,,,
HEYM11,T_HEYM11,NUCLEAR,2001-03-27 00:00:00,,,,,
HEYM12,T_HEYM12,NUCLEAR,2001-03-27 00:00:00,,,,,
HEYM27,T_HEYM27,NUCLEAR,2001-03-27 00:00:00,,,,,
HEYM28,T_HEYM28,NUCLEAR,2001-03-27 00:00:00,,,,,
HINB-7,T_HINB-7,NUCLEAR,2001-03-27 00:00:00,,,,,
HINB-8,T_HINB-8,NUCLEAR,2001-03-27 00:00:00,,,,,
HLGLW-1,E_HLGLW-1,WIND,2016-08-02 00:00:00,,,,,
HLTWW-1,E_HLTWW-1,WIND,2018-12-12 00:00:00,,,,,
HMGTO-1,T_HMGTO-1,WIND,2017-07-30 00:00:00,,,,,
HMGTO-2,T_HMGTO-2,WIND,2017-07-30 00:00:00,,,,,
HOWAO-1,T_HOWAO-1,WIND,2018-10-09 00:00:00,,,,,
HOWAO-2,T_HOWAO-2,WIND,2018-10-09 00:00:00,,,,,
HOWAO-3,T_HOWAO-3,WIND,2018-10-09 00:00:00,,,,,
HOWBO-1,T_HOWBO-1,WIND,2020-12-11 00:00:00,,,,,
HOWBO-2,T_HOWBO-2,WIND,2020-12-11 00:00:00,,,,,
HOWBO-3,T_HOWBO-3,WIND,2020-12-11 00:00:00,,,,,
