,local_datetime,recordType,bmUnitID,bMUnitType,leadPartyName,ngcBMUnitName,settlementDate,settlementPeriod,timeFrom,pnLevelFrom,timeTo,pnLevelTo,activeFlag,qpnLevelFrom,qpnLevelTo,melLevelFrom,melLevelTo,milLevelFrom,milLevelTo,bidOfferAcceptanceNumber,acceptanceTime,deemedBidOfferFlag,soFlag,storProviderFlag,rrInstructionFlag,rrScheduleFlag,bidOfferLevelFrom,bidOfferLevelTo
1668,2022-03-19 13:00:00+00:00,QPN,2__DSPOW000,G,SP Energy Retail Ltd,MNW-SPC01,2022-03-19,27,2022-03-19 13:00:00,,2022-03-19 13:30:00,,Y,0.000,0.000,,,,,,,,,,,,,
1669,2022-03-19 13:00:00+00:00,QPN,2__DSTAT001,S,Statkraft Markets Gmbh,AG-DSTK01,2022-03-19,27,2022-03-19 13:00:00,,2022-03-19 13:30:00,,Y,0.000,0.000,,,,,,,,,,,,,
1670,2022-03-19 13:00:00+00:00,QPN,2__DSTAT002,S,Statkraft Markets Gmbh,AG-DSTK02,2022-03-19,27,2022-03-19 13:00:00,,2022-03-19 13:30:00,,Y,0.000,0.000,,,,,,,,,,,,,
1671,2022-03-19 13:00:00+00:00,QPN,2__DSTAT003,S,Statkraft Markets Gmbh,AG-DSTK03,2022-03-19,27,2022-03-19 13:00:00,,2022-03-19 13:30:00,,Y,0.000,0.000,,,,,,,,,,,,,
1672,2022-03-19 13:00:00+00:00,QPN,2__DSTAT004,S,Statkraft Markets Gmbh,AG-DSTK04,2022-03-19,27,2022-03-19 13:00:00,,2022-03-19 13:30:00,,Y,0.000,0.000,,,,,,,,,,,,,
1673,2022-03-19 13:00:00+00:00,QPN,2__DSWAE000,G,OVO Electricity Ltd,MNW-SWA01,2022-03-19,27,2022-03-19 13:00:00,,2022-03-19 13:30:00,,Y,0.000,0.000,,,,,,,,,,,,,
1674,2022-03-19 13:00:00+00:00,QPN,2__DSWEB000,G,EDF Energy Customers Ltd,MNW-SWT01,2022-03-19,27,2022-03-19 13:00:00,,2022-03-19 13:30:00,,Y,0.000,0.000,,,,,,,,,,,,,
1675,2022-03-19 13:00:00+00:00,QPN,2__DTGPL000,G,TotalEnergies Gas & Power Ltd,MNW-TFE01,2022-03-19,27,2022-03-19 13:00:00,,2022-03-19 13:30:00,,Y,0.000,0.000,,,,,,,,,,,,,
1676,2022-03-19 13:00:00+00:00,QPN,2__DUKPR001,S,UK Power Reserve Limited,AG-DUKP01,2022-03-19,27,2022-03-19 13:00:00,,2022-03-19 13:30:00,,Y,0.000,0.000,,,,,,,,,,,,,
1677,2022-03-19 13:00:00+00:00,QPN,2__EANGE001,S,Limejump Energy Limited,AG-ELIM02,2022-03-19,27,2022-03-19 13:00:00,,2022-03-19 13:30:00,,Y,0.000,0.000,,,,,,,,,,,,,
1678,2022-03-19 13:00:00+00:00,QPN,2__EBGAS000,G,British Gas Trading Ltd,MID-BGS01,2022-03-19,27,2022-03-19 13:00:00,,2022-03-19 13:30:00,,Y,0.000,0.000,,,,,,,,,,,,,
1679,2022-03-19 13:00:00+00:00,QPN,2__EBIZZ000,G,British Gas Trading Ltd,MID-BIZ01,2022-03-19,27,2022-03-19 13:00:00,,2022-03-19 13:30:00,,Y,0.000,0.000,,,,,,,,,,,,,
1680,2022-03-19 13:00:00+00:00,QPN,2__EEDFE000,G,EDF Energy Customers Ltd,MID-EDF01,2022-03-19,27,2022-03-19 13:00:00,,2022-03-19 13:30:00,,Y,0.000,0.000,,,,,,,,,,,,,
